race_id,race_name,circuit_name,location,type,country_name,total_laps,timestamp_start,timestamp_end
7763,Practice 2,Sakhir,Sakhir,Practice,Bahrain,,2023-02-24 08:00:00,2023-02-24
7764,Practice 3,Sakhir,Sakhir,Practice,Bahrain,,2023-02-25 08:00:00,2023-02-25
7765,Practice 1,Sakhir,Sakhir,Practice,Bahrain,,2023-03-03 12:30:00,2023-03-03
7766,Practice 2,Sakhir,Sakhir,Practice,Bahrain,,2023-03-03 16:00:00,2023-03-03
7767,Practice 3,Sakhir,Sakhir,Practice,Bahrain,,2023-03-04 12:30:00,2023-03-04
7768,Qualifying,Sakhir,Sakhir,Qualifying,Bahrain,,2023-03-04 16:00:00,2023-03-04
7772,Practice 1,Jeddah,Jeddah,Practice,Saudi Arabia,,2023-03-17 14:30:00,2023-03-17
7773,Practice 2,Jeddah,Jeddah,Practice,Saudi Arabia,,2023-03-17 18:00:00,2023-03-17
7774,Practice 3,Jeddah,Jeddah,Practice,Saudi Arabia,,2023-03-18 14:30:00,2023-03-18
7775,Qualifying,Jeddah,Jeddah,Qualifying,Saudi Arabia,,2023-03-18 18:00:00,2023-03-18
7779,Race,Jeddah,Jeddah,Race,Saudi Arabia,,2023-03-19 18:00:00,2023-03-19
7780,Practice 1,Melbourne,Melbourne,Practice,Australia,,2023-03-31 03:30:00,2023-03-31
7781,Practice 2,Melbourne,Melbourne,Practice,Australia,,2023-03-31 07:00:00,2023-03-31
7782,Practice 3,Melbourne,Melbourne,Practice,Australia,,2023-04-01 03:30:00,2023-04-01
7783,Qualifying,Melbourne,Melbourne,Qualifying,Australia,,2023-04-01 07:00:00,2023-04-01
7787,Race,Melbourne,Melbourne,Race,Australia,,2023-04-02 07:00:00,2023-04-02
7953,Race,Sakhir,Sakhir,Race,Bahrain,,2023-03-05 16:00:00,2023-03-05
9063,Practice 1,Baku,Baku,Practice,Azerbaijan,,2023-04-28 11:30:00,2023-04-28
9064,Qualifying,Baku,Baku,Qualifying,Azerbaijan,,2023-04-28 15:00:00,2023-04-28
9069,Sprint,Baku,Baku,Race,Azerbaijan,,2023-04-29 15:30:00,2023-04-29
9070,Race,Baku,Baku,Race,Azerbaijan,,2023-04-30 13:00:00,2023-04-30
9071,Practice 1,Miami,Miami,Practice,United States,,2023-05-05 20:00:00,2023-05-05
9072,Practice 2,Miami,Miami,Practice,United States,,2023-05-05 23:30:00,2023-05-06
9073,Practice 3,Miami,Miami,Practice,United States,,2023-05-06 18:30:00,2023-05-06
9074,Qualifying,Miami,Miami,Qualifying,United States,,2023-05-06 22:00:00,2023-05-06
9078,Race,Miami,Miami,Race,United States,,2023-05-07 21:30:00,2023-05-07
9087,Practice 1,Monte Carlo,Monaco,Practice,Monaco,,2023-05-26 13:30:00,2023-05-26
9088,Practice 2,Monte Carlo,Monaco,Practice,Monaco,,2023-05-26 17:00:00,2023-05-26
9089,Practice 3,Monte Carlo,Monaco,Practice,Monaco,,2023-05-27 12:30:00,2023-05-27
9090,Qualifying,Monte Carlo,Monaco,Qualifying,Monaco,,2023-05-27 16:00:00,2023-05-27
9094,Race,Monte Carlo,Monaco,Race,Monaco,,2023-05-28 15:00:00,2023-05-28
9095,Practice 1,Catalunya,Barcelona,Practice,Spain,,2023-06-02 13:30:00,2023-06-02
9096,Practice 2,Catalunya,Barcelona,Practice,Spain,,2023-06-02 17:00:00,2023-06-02
